aX,aY,aZ,gX,gY,gZ
-1.1,1.19,0.68,-139.22,108.09,-100.89
-1.06,1.08,0.67,-132.75,107.18,-111.15
-1.03,1.09,0.77,-126.4,98.94,-115.84
-1.03,1.19,0.74,-122.56,99.12,-117.98
-1.03,1.3,0.57,-122.92,105.83,-125.92
-0.99,1.37,0.45,-123.05,102.84,-142.03
-0.96,1.4,0.43,-117.74,91.06,-163.02
-0.93,1.38,0.45,-111.76,79.96,-185.67
-0.9,1.28,0.48,-109.25,74.1,-209.72
-0.85,1.15,0.5,-107.73,71.04,-232.24
-0.8,1.0,0.44,-102.6,71.04,-250.85
-0.73,0.88,0.37,-94.6,70.8,-263.06
-0.65,0.81,0.35,-87.65,64.33,-269.59
-0.6,0.75,0.38,-84.96,56.03,-274.17
-0.56,0.68,0.4,-82.21,50.35,-280.03
-0.54,0.6,0.31,-80.26,50.6,-287.78
-0.52,0.55,0.21,-73.73,51.45,-292.97
-0.49,0.53,0.17,-64.94,47.55,-294.8
-0.49,0.51,0.19,-60.61,42.85,-297.24
-0.47,0.48,0.16,-54.63,44.62,-301.51
-0.46,0.47,0.04,-47.06,51.94,-306.52
-0.47,0.49,-0.07,-34.48,55.48,-310.3
-0.46,0.49,-0.19,-26.73,52.8,-315.37
-0.48,0.41,-0.29,-33.14,41.93,-323.61
-0.46,0.31,-0.29,-44.19,19.78,-332.03
-0.48,0.23,-0.19,-56.64,-7.93,-338.99
-0.46,0.2,-0.11,-62.19,-26.12,-344.6
-0.48,0.22,-0.08,-64.82,-35.4,-346.68
-0.49,0.17,-0.03,-62.99,-40.59,-354.25
-0.49,0.04,0.04,-56.82,-46.81,-370.42
-0.5,-0.12,0.17,-47.67,-53.04,-386.41
-0.43,-0.19,0.31,-59.57,-47.0,-393.98
-0.41,-0.27,0.15,-87.28,-20.81,-396.42
-0.42,-0.38,0.0,-100.89,-10.19,-399.9
-0.4,-0.43,-0.04,-97.41,-20.02,-401.98
-0.46,-0.42,-0.01,-103.58,-34.79,-398.25
-0.51,-0.54,0.02,-119.45,-47.3,-382.39
-0.56,-0.34,-0.03,-138.85,-59.02,-340.82
-0.62,-0.25,-0.06,-152.65,-75.2,-328.37
-0.66,-0.26,-0.01,-168.27,-95.09,-336.73
-0.67,-0.31,0.07,-179.02,-116.03,-343.32
-0.62,-0.47,0.2,-183.53,-133.36,-351.81
-0.57,-0.63,0.34,-181.88,-144.53,-356.63
-0.57,-0.73,0.35,-173.4,-143.25,-354.31
-0.6,-0.81,0.2,-169.43,-133.42,-348.51
-0.6,-0.86,0.02,-161.62,-130.68,-337.46
-0.62,-0.84,0.08,-159.0,-147.77,-318.91
-0.63,-0.8,0.27,-153.56,-173.58,-296.69
-0.68,-0.77,0.4,-149.23,-186.52,-278.75
-0.69,-0.73,0.45,-155.64,-188.96,-268.01
-0.73,-0.65,0.49,-168.46,-192.5,-257.26
-0.77,-0.58,0.57,-175.84,-198.0,-251.53
-0.76,-0.54,0.66,-174.8,-204.04,-252.44
-0.76,-0.6,0.77,-174.74,-210.63,-259.52
-0.74,-0.69,0.84,-188.54,-209.66,-263.12
-0.7,-0.82,0.92,-212.89,-205.32,-264.59
-0.66,-0.98,0.98,-237.49,-199.4,-262.7
-0.63,-1.1,0.95,-257.39,-185.49,-255.62
-0.67,-1.19,0.84,-275.94,-168.95,-243.59
-0.73,-1.51,0.8,-303.41,-160.83,-201.97
-0.72,-1.19,0.81,-306.7,-166.02,-121.34
-0.73,-0.98,0.94,-281.86,-173.46,-76.54
-0.74,-0.88,1.07,-261.9,-175.66,-53.77
-0.7,-0.8,1.2,-246.15,-171.69,-35.71
-0.7,-0.78,1.32,-230.16,-162.6,-19.84
-0.71,-0.79,1.41,-214.84,-146.61,-3.42
-0.7,-0.73,1.46,-199.04,-126.95,17.7
-0.68,-0.67,1.45,-181.82,-107.24,41.87
-0.73,-0.6,1.45,-173.03,-86.0,67.87
-0.73,-0.46,1.47,-175.48,-69.09,95.52
-0.81,-0.29,1.63,-178.16,-59.69,121.58
-0.83,-0.06,1.69,-169.74,-37.11,147.95
-0.85,0.16,1.57,-159.73,-0.73,169.43
-0.87,0.31,1.42,-148.68,23.32,178.65
-0.88,0.39,1.37,-134.22,25.09,176.57
-0.71,0.32,1.47,-119.14,12.88,161.5
-0.68,0.18,1.67,-106.69,6.84,149.66
-0.64,-0.03,1.76,-92.96,15.01,144.65
-0.55,-0.27,1.71,-78.67,36.99,144.47
-0.5,-0.4,1.62,-72.75,59.14,155.58
-0.45,-0.5,1.5,-68.48,73.91,173.22
-0.41,-0.48,1.39,-70.25,83.01,200.74
-0.43,-0.43,1.35,-84.17,82.95,231.32
-0.58,-0.33,1.35,-89.84,80.08,260.25
-0.49,-0.12,1.29,-88.62,82.64,287.6
-0.08,-0.17,1.08,-92.65,84.29,300.11
-0.75,-0.28,1.3,-104.61,54.69,313.96
-0.33,-0.22,1.35,-106.38,43.03,327.82
0.0,-0.38,1.43,-159.79,67.44,324.95
-0.02,-0.67,1.66,-208.5,62.38,325.56
-0.27,-0.89,1.67,-263.73,81.12,330.63
-0.57,-1.1,1.45,-332.28,121.4,348.14
-0.86,-1.0,1.27,-408.02,167.54,377.26
-1.08,-0.73,0.99,-436.4,229.19,399.48
-1.29,-0.58,0.79,-428.04,287.96,415.53
-1.43,-0.21,0.35,-371.34,325.56,447.33
-1.67,0.17,0.2,-302.55,326.78,473.45
-1.29,0.4,0.15,-233.46,299.68,490.66
-1.48,0.67,0.7,-178.59,220.89,516.11
-1.63,1.04,1.36,-169.98,178.22,562.13
-1.58,1.42,1.49,-158.45,225.04,592.04
-1.52,1.85,1.38,-138.79,283.14,588.5
-1.4,2.11,1.17,-109.19,308.96,514.16
-1.4,1.69,1.01,-105.04,304.08,408.75
-1.37,1.46,0.89,-130.37,284.0,364.01
-1.32,1.25,0.71,-161.19,273.62,341.37
-1.3,0.98,0.55,-194.09,264.89,321.11
-1.31,0.77,0.44,-217.65,253.6,306.64
-1.29,0.78,0.45,-210.08,232.91,309.08
-1.32,1.02,0.7,-188.23,205.93,321.72
-1.35,1.23,0.95,-157.9,189.45,321.96
-1.44,1.41,1.11,-128.78,188.6,311.04
-1.57,1.65,1.15,-105.65,197.14,297.42
-1.69,1.89,1.03,-92.96,212.95,276.18
-1.76,2.1,0.79,-94.54,226.87,245.91
-1.74,2.23,0.6,-104.43,222.41,203.92
-1.65,2.1,0.61,-118.23,194.52,145.81
-1.57,1.82,0.74,-139.4,160.58,91.67
-1.49,1.61,0.87,-157.59,137.76,54.69
-1.46,1.54,1.0,-165.1,126.04,29.3
-1.46,1.57,1.08,-162.11,125.98,7.14
-1.47,1.62,1.1,-149.29,135.01,-18.86
-1.48,1.6,1.07,-135.25,145.87,-51.57
-1.49,1.51,0.93,-123.9,158.14,-85.51
-1.46,1.38,0.77,-116.64,165.47,-115.84
-1.39,1.24,0.7,-114.44,160.83,-139.65
-1.3,1.17,0.67,-118.35,149.11,-156.56
-1.18,1.16,0.63,-125.18,138.79,-168.95
-1.1,1.13,0.6,-131.84,128.23,-180.3
-1.01,1.03,0.6,-139.89,117.74,-193.05
-0.91,0.96,0.59,-148.86,108.22,-202.58
-0.84,0.95,0.57,-153.87,102.05,-207.89
-0.82,0.97,0.54,-146.48,99.67,-213.93
-0.82,0.94,0.49,-132.39,100.34,-223.45
-0.8,0.86,0.39,-120.91,102.91,-235.66
-0.83,0.83,0.31,-104.92,101.99,-245.18
-0.87,0.86,0.29,-83.25,96.07,-251.46
-0.89,0.95,0.23,-66.47,93.93,-260.93
-0.92,1.07,0.07,-47.12,97.72,-276.92
-0.92,1.11,-0.08,-29.48,95.7,-298.46
-0.88,1.02,-0.09,-20.39,79.71,-324.65
-0.84,0.83,0.06,-22.71,57.31,-347.05
-0.76,0.57,0.14,-43.4,45.1,-361.45
-0.7,0.32,0.13,-71.9,41.93,-367.8
-0.63,0.18,0.09,-86.73,39.37,-363.65
-0.61,0.15,-0.04,-84.05,39.18,-352.6
-0.53,0.19,-0.2,-65.98,39.18,-343.51
-0.52,0.29,-0.25,-40.1,30.64,-339.78
-0.52,0.37,-0.29,-19.29,21.67,-343.69
-0.55,0.34,-0.27,-14.83,10.25,-355.83
-0.54,0.23,-0.18,-19.78,-4.15,-371.46
-0.52,0.15,-0.11,-24.9,-17.46,-381.71
-0.51,0.07,-0.05,-32.23,-27.89,-388.31
-0.5,-0.04,-0.01,-40.41,-35.77,-394.65
-0.48,-0.12,0.05,-47.73,-41.32,-399.78
-0.46,-0.19,0.1,-50.72,-43.82,-402.77
-0.44,-0.27,0.15,-54.32,-46.63,-405.52
-0.4,-0.36,0.25,-64.51,-51.27,-410.89
-0.36,-0.48,0.36,-66.04,-50.9,-419.86
-0.34,-0.7,0.42,-63.48,-35.77,-420.65
-0.3,-0.8,0.34,-60.91,-15.81,-402.4
-0.33,-0.8,0.21,-66.47,-2.62,-370.79
-0.35,-0.66,0.06,-83.13,1.83,-339.42
-0.35,-0.51,-0.04,-111.94,-3.54,-323.55
-0.46,-0.52,-0.01,-133.61,-21.0,-321.29
-0.52,-0.53,0.04,-126.59,-40.59,-316.47
-0.55,-0.48,0.1,-116.64,-54.02,-312.19
-0.57,-0.46,0.22,-119.57,-67.14,-315.55
-0.6,-0.5,0.33,-122.07,-79.71,-323.18
-0.62,-0.6,0.47,-130.74,-87.65,-332.46
-0.6,-0.77,0.55,-141.11,-88.56,-340.82
-0.59,-0.88,0.55,-147.89,-83.56,-341.49
-0.61,-0.93,0.53,-160.52,-77.27,-336.43
-0.64,-0.98,0.51,-167.72,-73.85,-329.41
-0.66,-0.99,0.53,-177.49,-74.58,-318.79
-0.68,-1.01,0.59,-189.82,-77.82,-303.65
-0.69,-0.97,0.63,-197.88,-80.99,-279.42
-0.69,-0.88,0.61,-208.31,-81.24,-256.23
-0.72,-0.77,0.45,-222.66,-81.67,-242.49
-0.68,-0.82,0.51,-237.24,-91.13,-237.92
-0.68,-0.85,0.56,-228.82,-105.71,-230.1
-0.7,-0.83,0.58,-221.13,-113.1,-219.73
-0.77,-0.82,0.62,-211.12,-118.29,-211.49
-0.82,-0.8,0.61,-197.63,-122.07,-202.82
-0.86,-0.81,0.61,-197.88,-128.05,-195.68
-0.88,-0.82,0.7,-209.23,-139.1,-186.65
-0.87,-0.81,0.85,-216.13,-150.21,-173.77
-0.83,-0.81,0.99,-217.9,-155.27,-160.03
-0.73,-0.81,1.11,-210.08,-153.2,-146.06
-0.64,-0.83,1.18,-190.55,-144.96,-131.96
-0.51,-0.89,1.2,-195.98,-130.25,-118.53
-0.46,-0.96,1.25,-213.81,-119.02,-106.02
-0.49,-1.02,1.35,-235.35,-107.79,-88.56
-0.5,-1.03,1.41,-247.5,-90.21,-69.15
-0.51,-1.11,1.47,-243.65,-71.04,-48.89
-0.56,-1.07,1.51,-231.81,-51.45,-13.37
-0.6,-0.94,1.5,-205.51,-30.52,22.58
-0.57,-0.89,1.46,-182.8,-11.41,52.43
-0.51,-0.79,1.42,-164.31,6.23,84.78
-0.52,-0.57,1.38,-134.95,22.22,121.7
-0.5,-0.3,1.32,-105.41,36.93,158.63
-0.54,-0.02,1.19,-116.52,56.4,186.34
-0.64,0.12,1.11,-166.5,70.68,190.55
-0.72,0.17,1.1,-193.42,76.54,182.37
-0.72,0.21,1.01,-180.54,84.05,179.5
-0.69,0.2,1.0,-162.11,83.74,174.68
-0.59,0.1,1.13,-137.82,72.57,164.0
-0.44,-0.14,1.28,-110.66,65.25,153.14
-0.3,-0.33,1.4,-74.89,66.83,155.15
-0.19,-0.49,1.49,-50.11,76.17,171.39
-0.16,-0.52,1.49,-29.3,91.25,199.95
-0.17,-0.48,1.37,-18.86,105.29,233.46
-0.23,-0.44,1.3,-14.83,107.42,262.88
-0.31,-0.4,1.32,-18.25,102.36,287.72
-0.37,-0.34,1.36,-26.43,100.04,307.74
-0.35,-0.28,1.35,-37.35,106.08,320.98
-0.29,-0.25,1.3,-51.76,116.03,327.21
-0.22,-0.26,1.27,-70.62,125.06,328.74
-0.15,-0.33,1.23,-90.39,132.08,330.32
-0.17,-0.5,1.16,-109.19,139.22,335.14
-0.26,-0.64,1.01,-135.01,147.16,349.06
-0.45,-0.66,0.87,-158.14,149.11,376.1
-0.61,-0.6,0.77,-163.7,140.14,408.69
-0.73,-0.43,0.73,-172.49,135.31,436.04
-0.78,-0.23,0.66,-178.04,131.77,454.83
-0.74,-0.15,0.6,-186.46,126.4,461.43
-0.77,-0.19,0.7,-192.38,113.59,463.2
-0.82,-0.24,0.85,-192.57,103.76,473.33
-0.93,-0.25,0.92,-191.04,104.06,493.29
-1.14,-0.25,0.99,-202.45,107.6,518.31
-1.41,-0.16,1.15,-208.37,114.93,549.93
-1.69,0.11,1.3,-197.14,131.65,586.0
-1.92,0.5,1.37,-180.3,160.89,617.43
-2.0,0.85,1.29,-179.87,201.23,639.95
-2.08,1.11,1.1,-166.5,233.22,654.24
-2.14,1.31,0.89,-155.4,244.38,657.04
-2.04,1.67,0.67,-162.96,240.72,608.46
-2.0,1.25,0.55,-177.12,219.3,500.67
-1.99,1.09,0.67,-198.18,185.0,453.12
-2.0,1.04,0.77,-212.34,168.58,439.33
-2.06,1.14,0.9,-218.75,164.25,428.71
-2.09,1.37,0.99,-216.13,167.6,418.03
-2.11,1.56,1.03,-215.52,176.57,398.56
-2.13,1.84,0.95,-219.48,187.87,372.01
-2.15,2.23,0.82,-207.82,198.73,344.48
-2.18,2.71,0.77,-178.65,199.71,307.56
-2.12,3.0,0.87,-148.74,188.23,243.29
-2.04,2.91,0.98,-139.47,170.17,150.39
-1.98,2.54,1.02,-145.14,160.34,59.45
-1.88,2.13,1.06,-145.81,153.08,-10.62
-1.8,1.9,1.21,-143.07,143.43,-58.84
-1.7,1.77,1.3,-134.09,143.98,-93.44
-1.62,1.59,1.33,-127.01,151.55,-126.46
-1.57,1.4,1.3,-123.41,161.44,-158.26
-1.51,1.26,1.21,-121.46,173.89,-183.59
-1.42,1.11,1.03,-122.86,184.81,-203.49
-1.33,0.95,0.82,-128.72,186.22,-219.73
-1.25,0.92,0.63,-130.37,178.28,-225.16
-1.18,0.96,0.59,-125.24,160.89,-224.12
-1.09,0.93,0.6,-126.16,140.81,-230.41
-1.0,0.86,0.63,-137.08,124.51,-239.69
-0.91,0.77,0.69,-146.48,111.45,-248.05
-0.84,0.71,0.75,-151.31,102.78,-253.97
-0.77,0.68,0.74,-152.77,102.72,-258.18
-0.72,0.67,0.69,-149.78,108.15,-262.7
-0.69,0.66,0.65,-142.46,113.34,-269.78
-0.63,0.64,0.54,-129.64,120.36,-278.69
-0.6,0.58,0.44,-114.5,126.83,-288.21
-0.58,0.5,0.32,-97.35,131.29,-298.03
-0.54,0.47,0.2,-75.74,133.3,-305.6
-0.52,0.46,0.18,-56.27,129.27,-309.69
-0.48,0.44,0.14,-41.44,125.73,-311.95
-0.43,0.37,0.06,-42.24,122.62,-313.96
-0.41,0.26,-0.02,-53.96,116.58,-315.19
-0.4,0.17,-0.14,-64.03,108.4,-312.5
-0.37,0.12,-0.26,-72.81,96.98,-306.27
-0.34,0.12,-0.3,-75.68,80.02,-299.74
-0.31,0.13,-0.3,-67.75,62.13,-296.63
-0.3,0.16,-0.31,-52.43,51.21,-296.57
-0.3,0.21,-0.33,-34.3,43.76,-298.65
-0.29,0.27,-0.34,-22.58,34.61,-300.9
-0.29,0.27,-0.31,-23.32,22.71,-305.48
-0.3,0.21,-0.24,-35.52,7.45,-310.85
-0.3,0.19,-0.17,-52.37,-6.96,-312.56
-0.3,0.17,-0.09,-67.38,-19.35,-313.29
-0.33,0.13,-0.02,-79.96,-29.6,-317.02
-0.33,0.11,-0.0,-83.68,-37.72,-323.0
-0.38,0.09,0.12,-79.96,-44.37,-330.69
-0.43,0.05,0.17,-70.07,-38.21,-341.37
-0.44,-0.0,0.2,-67.93,-28.02,-353.03
-0.43,-0.08,0.28,-74.16,-21.3,-367.0
-0.45,-0.16,0.32,-79.47,-12.15,-381.96
-0.48,-0.26,0.26,-87.95,0.06,-395.81
-0.53,-0.35,0.18,-101.87,6.71,-405.4
-0.59,-0.38,0.12,-124.63,3.48,-408.14
-0.67,-0.48,0.1,-153.02,-6.84,-406.62
-0.73,-0.54,0.1,-173.4,-22.64,-396.12
-0.76,-0.5,0.14,-186.34,-40.16,-380.55
-0.82,-0.48,0.2,-192.63,-56.88,-375.18
-0.91,-0.48,0.26,-209.53,-71.78,-376.89
-0.93,-0.44,0.39,-219.18,-85.63,-377.14
-0.92,-0.45,0.5,-217.65,-95.7,-378.48
-0.95,-0.49,0.52,-217.9,-96.25,-384.52
-1.0,-0.54,0.52,-231.81,-94.12,-390.14
-1.01,-0.59,0.55,-246.7,-97.17,-393.25
-1.01,-0.65,0.57,-251.89,-104.37,-396.42
-0.99,-0.72,0.64,-263.18,-109.31,-401.86
-0.95,-0.85,0.6,-243.29,-112.18,-409.06
-0.91,-1.01,0.5,-214.84,-116.58,-403.87
-0.88,-1.15,0.47,-229.74,-129.82,-391.17
-0.86,-1.24,0.54,-260.8,-145.45,-376.4
-0.8,-1.65,0.71,-276.67,-154.42,-323.06
-0.72,-1.3,0.74,-254.58,-154.6,-226.56
-0.69,-1.08,0.69,-223.82,-146.24,-177.73
-0.68,-0.9,0.73,-208.8,-140.26,-151.55
-0.75,-0.83,0.82,-193.54,-137.33,-134.03
-0.86,-0.83,0.86,-185.06,-129.39,-122.5
-0.95,-0.85,0.87,-195.07,-119.26,-109.31
-1.02,-0.89,0.88,-207.46,-110.78,-93.99
-1.07,-0.93,0.91,-219.06,-107.3,-76.42
-1.11,-0.93,0.94,-233.4,-105.59,-56.03
-1.08,-0.94,0.99,-245.24,-105.1,-33.81
-1.0,-0.89,1.09,-243.1,-104.98,-8.91
-0.91,-0.76,1.23,-233.95,-101.01,16.78
-0.82,-0.63,1.37,-228.21,-89.42,37.96
-0.81,-0.55,1.49,-225.95,-69.27,53.89
-0.85,-0.52,1.53,-222.66,-43.58,65.86
-0.87,-0.53,1.5,-217.53,-19.71,78.37
-0.93,-0.53,1.47,-212.89,-3.36,95.46
-0.94,-0.41,1.46,-210.94,5.98,116.88
-0.89,-0.3,1.46,-195.13,11.47,136.6
-0.89,-0.25,1.45,-169.25,15.93,152.71
-0.84,-0.19,1.36,-161.01,27.04,168.15
-0.77,-0.18,1.32,-204.1,42.6,172.55
-0.69,-0.3,1.5,-239.32,50.66,170.1
-0.62,-0.18,1.64,-215.27,64.45,194.21
-0.62,0.02,1.64,-171.63,89.84,224.91
-0.63,0.2,1.66,-142.88,114.81,244.63
-0.59,0.38,1.73,-122.19,132.75,262.7
-0.6,0.44,1.74,-104.61,153.99,279.48
-0.6,0.41,1.55,-93.75,180.42,297.67
-0.5,0.35,1.28,-90.21,197.51,310.97
-0.41,0.27,1.11,-82.28,192.26,302.49
-0.34,0.12,1.04,-80.57,176.76,271.0
0.28,-0.11,1.12,-95.7,165.28,247.92
-0.51,-0.12,1.24,-32.23,140.87,251.22
-0.05,-0.25,1.15,-10.86,154.17,261.05
-0.01,-0.34,1.22,-21.61,167.91,262.21
0.04,-0.46,1.26,-39.12,168.15,255.31
-0.05,-0.57,1.21,-59.63,178.41,237.24
-0.15,-0.78,1.15,-94.73,190.31,247.74
-0.32,-0.81,1.03,-130.13,196.84,319.7
-0.44,-0.48,0.78,-152.53,199.77,393.01
-0.48,-0.26,0.58,-181.46,195.8,423.46
-0.58,-0.04,0.43,-194.09,181.03,443.6
-0.67,0.16,0.34,-203.67,162.05,455.57
-0.74,0.36,0.2,-203.49,147.64,463.81
-0.8,0.51,0.13,-192.02,132.63,481.02
-0.79,0.69,0.23,-168.03,110.84,514.04
-0.65,0.9,0.45,-125.55,90.03,538.51
-0.4,1.35,0.67,-85.08,80.08,490.05
-0.34,0.74,0.84,-49.44,77.88,363.22
-0.32,0.36,1.03,-37.72,71.23,317.75
-0.32,0.15,1.19,-34.97,73.43,328.92
-0.44,0.11,1.45,-36.8,74.65,359.44
-0.62,0.26,1.72,-47.85,83.68,399.41
-0.81,0.56,1.81,-57.19,111.69,433.23
-0.96,0.85,1.8,-62.87,140.56,449.4
-1.07,0.99,1.74,-77.76,159.12,446.66
-1.16,1.03,1.66,-99.67,169.68,435.36
-1.25,1.01,1.57,-127.81,174.8,421.94
-1.33,0.92,1.46,-156.8,180.24,409.0
-1.44,0.78,1.33,-174.8,185.3,399.17
-1.59,0.74,1.17,-184.75,189.51,394.9
-1.72,0.86,1.0,-185.55,195.62,397.22
-1.77,1.17,0.98,-173.16,193.73,398.68
-1.79,1.44,1.13,-155.52,180.85,386.54
-1.85,1.67,1.23,-150.33,177.43,359.86
-1.83,1.97,1.2,-156.98,185.79,332.03
-1.78,2.28,1.09,-162.84,192.44,296.2
-1.68,2.47,1.03,-162.11,185.12,241.76
-1.62,2.46,0.99,-160.58,170.72,168.15
-1.56,2.4,0.96,-152.77,159.79,95.83
-1.52,2.24,0.88,-143.62,151.12,29.05
-1.43,1.96,0.77,-143.01,142.09,-32.65
-1.33,1.59,0.72,-144.59,127.5,-84.96
-1.21,1.25,0.76,-146.06,109.13,-122.56
-1.1,0.94,0.9,-146.85,92.16,-146.91
-1.01,0.7,1.07,-144.65,82.15,-161.25
-0.96,0.59,1.09,-141.3,87.89,-162.48
-0.91,0.7,0.98,-136.54,103.88,-152.16
-0.86,0.88,0.93,-124.88,112.43,-146.61
-0.81,1.02,0.97,-118.59,112.79,-152.89
-0.76,1.05,0.96,-120.97,114.62,-165.41
-0.75,0.99,0.9,-127.75,117.37,-179.99
-0.77,0.97,0.82,-132.32,117.68,-192.32
-0.83,0.95,0.73,-128.72,116.33,-204.71
-0.89,0.87,0.66,-126.65,112.73,-218.93
-0.9,0.78,0.62,-126.83,105.22,-231.57
-0.87,0.72,0.61,-125.12,94.48,-242.0
-0.83,0.7,0.62,-116.58,86.18,-249.27
-0.79,0.7,0.64,-102.6,83.07,-254.27
-0.75,0.74,0.62,-85.94,86.55,-259.7
-0.74,0.8,0.57,-68.48,95.34,-268.07
-0.73,0.78,0.46,-51.7,105.35,-282.9
-0.7,0.72,0.39,-41.14,111.27,-298.71
-0.68,0.62,0.32,-35.1,112.24,-311.34
-0.67,0.43,0.08,-28.32,119.26,-325.2
-0.61,0.24,-0.29,-18.92,126.22,-336.18
-0.59,0.07,-0.57,-11.84,114.81,-341.31
-0.58,-0.09,-0.68,-4.33,84.72,-339.6
-0.49,-0.1,-0.53,-10.25,40.95,-324.71
-0.46,0.06,-0.14,-17.64,-4.52,-301.88
-0.43,0.28,0.21,-17.94,-27.59,-284.0
-0.43,0.53,0.45,-24.54,-26.73,-276.37
-0.48,0.67,0.44,-31.74,-6.9,-284.42
-0.55,0.61,0.24,-33.87,17.15,-305.85
-0.55,0.42,0.03,-39.12,30.21,-331.54
-0.53,0.16,-0.01,-40.34,27.83,-351.87
-0.49,-0.05,0.12,-38.7,18.37,-359.01
-0.43,-0.19,0.18,-38.51,19.47,-356.87
-0.39,-0.32,0.14,-42.42,27.83,-353.03
-0.38,-0.44,0.12,-54.87,31.86,-351.87
-0.38,-0.5,0.07,-65.37,28.38,-354.86
-0.38,-0.51,0.01,-81.18,20.32,-363.22
-0.38,-0.51,0.01,-98.33,9.46,-380.37
-0.46,-0.5,0.06,-101.14,-0.18,-396.55
-0.49,-0.7,0.09,-92.96,-3.78,-376.16
-0.46,-0.44,0.06,-94.06,-4.09,-315.06
-0.48,-0.37,-0.03,-86.06,0.24,-301.15
-0.52,-0.46,-0.1,-79.9,1.04,-313.9
-0.56,-0.49,-0.09,-81.36,-6.23,-319.52
-0.59,-0.52,-0.02,-95.95,-16.48,-324.22
-0.6,-0.54,0.04,-112.18,-26.37,-328.49
-0.62,-0.64,0.07,-126.83,-36.99,-334.96
-0.62,-0.77,0.1,-143.31,-48.28,-342.9
-0.62,-0.87,0.12,-157.78,-60.0,-347.66
-0.58,-0.96,0.12,-171.33,-70.86,-350.04
-0.52,-1.03,0.2,-181.15,-83.98,-351.44
-0.47,-1.2,0.31,-181.7,-94.85,-346.74
-0.43,-1.19,0.35,-182.01,-95.95,-313.17
-0.44,-1.08,0.28,-181.76,-92.29,-282.23
-0.48,-1.01,0.21,-191.53,-91.19,-267.03
-0.53,-0.94,0.2,-198.12,-99.06,-253.91
-0.57,-0.9,0.29,-206.85,-113.77,-244.45
-0.62,-0.92,0.45,-216.86,-127.87,-237.3
-0.64,-0.98,0.58,-227.36,-136.96,-231.51
-0.66,-1.06,0.73,-249.15,-144.47,-224.3
-0.72,-1.23,0.85,-259.52,-150.51,-215.27
-0.71,-1.41,0.9,-240.48,-153.63,-198.91
-0.66,-1.53,0.83,-239.07,-151.25,-169.13
-0.78,-1.52,0.68,-247.74,-143.74,-124.94
-0.79,-1.51,0.5,-257.14,-150.21,-86.67
-0.88,-1.23,0.63,-246.89,-179.14,-49.99
-0.92,-0.83,0.87,-232.67,-207.15,-17.7
-0.93,-0.52,1.02,-225.4,-215.94,-6.23
-0.97,-0.39,1.15,-245.54,-213.93,-9.7
-1.0,-0.38,1.23,-280.09,-206.24,-19.41
-1.0,-0.45,1.33,-309.45,-197.51,-26.98
-0.97,-0.58,1.46,-311.22,-192.44,-27.65
-0.81,-0.72,1.62,-292.24,-186.16,-21.67
-0.69,-0.82,1.83,-269.23,-174.32,-9.16
-0.7,-0.96,1.96,-239.2,-149.72,8.3
-0.69,-0.98,2.02,-204.9,-116.46,42.24
-0.56,-0.82,1.91,-191.22,-71.41,80.87
-0.5,-0.69,1.78,-205.26,-25.45,105.59
-0.57,-0.63,1.64,-187.74,9.64,126.83
-0.68,-0.59,1.54,-131.53,35.34,148.99
-0.85,-0.53,1.49,-66.16,52.06,170.84
-0.87,-0.37,1.31,-11.17,65.12,194.89
-0.87,-0.36,1.14,1.53,69.58,199.4
-0.83,-0.38,1.08,-44.49,68.42,190.86
-0.82,-0.35,1.04,-97.72,67.69,196.17
-0.78,-0.21,0.98,-106.2,65.12,215.88
-0.69,-0.08,0.94,-111.76,62.93,233.34
-0.58,0.02,0.92,-127.81,58.35,242.0
-0.49,-0.03,1.0,-158.33,55.79,232.42
-0.4,-0.24,1.11,-169.01,60.12,223.08
-0.4,-0.18,1.1,-122.68,61.28,237.85
-0.34,-0.36,1.13,-154.54,73.18,240.36
-0.38,-0.48,1.02,-183.23,91.61,252.87
-0.43,-0.51,0.91,-202.51,107.73,274.35
-0.54,-0.45,0.78,-218.51,118.04,298.28
-0.6,-0.31,0.61,-224.55,126.65,324.4
-0.6,-0.14,0.48,-236.63,126.71,344.67
-0.56,0.05,0.65,-260.68,112.67,361.76
-0.57,0.19,1.04,-272.28,89.42,376.53
-0.63,0.36,1.31,-266.24,90.82,390.38
-0.77,0.52,1.25,-258.91,123.47,404.72
-0.94,0.69,0.92,-269.78,167.72,421.33
